txn_id,user_id,device_id,ip_id,timestamp,txn_type,amount,avg_txn_amount,amount_deviation,txn_count_24h,txn_count_1h,time_since_last_txn,account_age_days,failed_attempts,location_change,device_change,is_international,is_mal_ip,is_proxy_ip,is_new_device,odd_time,previous_fraud_flag,label
TXN0000010,USR00001,DEV01702,IP00642,2025-01-08 13:05:00,PAYMENT,1580.12,3072.19,0.5143,11,1,864,101,0,0,0,0,0,0,0,0,1,0
TXN0000011,USR00001,DEV01933,IP03722,2025-01-09 12:24:00,PAYMENT,1810.29,4111.64,0.4403,12,3,4186,101,2,0,0,0,0,0,0,0,0,0
TXN0000012,USR00001,DEV01136,IP04606,2025-01-10 11:23:00,PAYMENT,1770.52,2273.58,0.7787,13,4,3378,101,0,0,0,0,0,0,0,0,0,0
TXN0000013,USR00001,DEV01762,IP01408,2025-01-10 12:51:00,TRANSFER,2325.29,1149.15,2.0235,14,4,4887,101,0,0,0,0,0,0,0,0,0,0
TXN0000014,USR00001,DEV03505,IP02163,2025-01-11 15:39:00,CASH_OUT,3645.58,3341.63,1.091,15,0,2892,101,3,0,1,1,0,0,0,0,0,0
TXN0000015,USR00001,DEV03204,IP04682,2025-01-12 13:23:00,CASH_IN,1505.65,2793.41,0.539,16,4,1101,101,5,0,0,0,0,0,0,0,0,0
TXN0000016,USR00001,DEV01790,IP01595,2025-01-13 10:12:00,CASH_OUT,7209.57,3443.69,2.0936,17,1,710,101,2,0,0,0,0,0,0,0,0,0
TXN0000017,USR00001,DEV01613,IP03291,2025-01-13 11:42:00,TRANSFER,747.91,3464.26,0.2159,18,3,588,101,0,0,0,0,0,0,0,0,0,0
TXN0000018,USR00001,DEV00982,IP04806,2025-01-14 09:13:00,TRANSFER,4441.55,2276.13,1.9514,19,4,368,101,0,0,0,0,0,0,0,0,0,0
TXN0000019,USR00001,DEV00794,IP00714,2025-01-14 11:45:00,TRANSFER,2565.34,1920.22,1.336,20,2,1364,101,1,0,0,0,0,0,0,0,0,0
TXN0000020,USR00001,DEV03769,IP02038,2025-01-15 13:49:00,CASH_OUT,6845.63,4478.1,1.5287,20,5,3840,101,2,0,0,0,0,0,0,0,0,0
TXN0000021,USR00001,DEV03832,IP00343,2025-01-16 07:54:00,PAYMENT,2995.39,3598.44,0.8324,20,1,1834,101,0,0,1,0,0,0,1,0,0,0
TXN0000022,USR00001,DEV03208,IP02915,2025-01-17 11:12:00,TRANSFER,3169.8,3160.06,1.0031,20,1,4016,101,0,0,0,0,0,0,0,0,0,0
TXN0000023,USR00001,DEV03333,IP05010,2025-01-18 16:51:00,CASH_OUT,3629.51,5663.13,0.6409,20,1,4860,101,0,0,1,0,0,0,1,0,0,0
TXN0000024,USR00001,DEV01683,IP05745,2025-01-19 17:32:00,CASH_IN,3255.89,4985.84,0.653,20,5,3578,101,2,0,0,0,0,0,0,0,0,0
TXN0000025,USR00001,DEV01620,IP01451,2025-01-21 05:32:00,TRANSFER,4361.36,3311.07,1.3172,20,5,3069,101,4,0,0,0,0,0,0,1,0,0
TXN0000026,USR00001,DEV00703,IP00742,2025-01-21 14:00:00,PAYMENT,4391.6,2537.74,1.7305,20,3,881,101,0,0,0,0,0,0,0,0,0,0
TXN0000027,USR00002,DEV02214,IP05663,2025-01-07 05:31:00,CASH_IN,7492.35,5163.23,1.4511,1,0,2587,438,2,0,0,0,0,0,0,1,0,0
TXN0000028,USR00002,DEV01254,IP01259,2025-01-08 20:43:00,TRANSFER,5744.25,6901.46,0.8323,2,2,1938,438,1,0,0,0,0,0,0,0,0,0
TXN0000029,USR00002,DEV03145,IP03353,2025-01-08 18:39:00,CASH_OUT,5790.25,5838.61,0.9917,3,3,874,438,0,0,1,0,0,0,1,0,0,0
TXN0000030,USR00002,DEV01142,IP05011,2025-01-09 07:21:00,PAYMENT,3011.81,7205.7,0.418,4,3,44,438,1,0,0,0,0,0,0,0,0,0
TXN0000031,USR00002,DEV00598,IP00076,2025-01-10 09:24:00,TRANSFER,3206.79,6214.05,0.5161,5,3,992,438,5,0,0,0,0,0,0,0,0,0
TXN0000032,USR00002,DEV01572,IP03137,2025-01-11 06:02:00,CASH_OUT,6005.12,5347.69,1.1229,6,3,4814,438,0,0,0,0,0,0,0,0,0,0
TXN0000033,USR00002,DEV00402,IP02452,2025-01-12 18:04:00,PAYMENT,4909.13,6560.7,0.7483,7,2,2622,438,4,0,0,0,0,0,0,0,0,0
TXN0000034,USR00002,DEV01745,IP00267,2025-01-12 12:14:00,PAYMENT,8546.51,3818.82,2.238,8,3,2003,438,2,1,0,0,0,0,0,0,0,0
TXN0000035,USR00002,DEV03258,IP03892,2025-01-13 15:18:00,PAYMENT,9705.34,6766.06,1.4344,9,4,153,140,5,0,0,0,0,0,0,0,0,1
TXN0000036,USR00002,DEV02959,IP04210,2025-01-14 11:11:00,PAYMENT,14467.63,5858.53,2.4695,10,4,3159,438,0,0,0,0,0,0,0,0,0,0
TXN0000037,USR00002,DEV00339,IP05252,2025-01-15 13:03:00,PAYMENT,9861.04,3566.88,2.7646,11,1,420,438,5,0,0,0,0,0,0,0,0,0
TXN0000038,USR00002,DEV03591,IP05423,2025-01-15 14:10:00,PAYMENT,4957.3,6360.55,0.7794,12,5,1495,438,0,0,0,0,0,0,0,0,0,0
TXN0000039,USR00002,DEV02841,IP02899,2025-01-15 10:10:00,PAYMENT,5126.58,3603.61,1.4226,13,5,1014,438,2,0,0,0,0,0,0,0,1,0
TXN0000040,USR00002,DEV03588,IP05700,2025-01-16 13:06:00,PAYMENT,6653.23,8113.13,0.8201,14,1,211,438,0,0,0,0,0,0,0,0,0,0
TXN0000041,USR00002,DEV02198,IP01378,2025-01-16 12:59:00,PAYMENT,13087.05,6996.0,1.8706,15,1,2067,438,0,0,0,0,0,0,0,0,0,0
TXN0000042,USR00002,DEV02691,IP01731,2025-01-17 13:43:00,TRANSFER,3175.97,3835.18,0.8281,16,2,2691,438,0,0,1,0,0,0,0,0,0,0
TXN0000043,USR00002,DEV02921,IP00021,2025-01-17 10:29:00,CASH_IN,20253.4,9818.28,2.0628,17,0,2283,438,1,0,0,0,0,0,0,0,0,0
TXN0000044,USR00002,DEV01196,IP01795,2025-01-18 10:06:00,TRANSFER,6023.15,5333.24,1.1294,18,0,4706,438,2,0,0,0,0,0,0,0,0,0
TXN0000045,USR00002,DEV00627,IP01614,2025-01-19 16:09:00,CASH_IN,1472.25,5162.14,0.2852,19,4,968,438,1,0,0,0,0,0,0,0,0,0
TXN0000046,USR00002,DEV00617,IP03016,2025-01-20 17:08:00,TRANSFER,23700.53,8721.29,2.7175,20,4,1229,438,1,0,0,0,0,0,0,0,0,0
TXN0000047,USR00003,DEV00576,IP02616,2025-01-10 16:34:00,CASH_IN,3872.41,2594.42,1.4926,1,1,1088,648,0,0,0,0,0,0,0,0,0,0
TXN0000048,USR00003,DEV03028,IP03026,2025-01-11 15:30:00,CASH_IN,4078.99,2239.49,1.8214,2,2,2508,648,1,0,0,0,0,0,0,0,0,0
TXN0000049,USR00003,DEV02903,IP00619,2025-01-12 09:29:00,PAYMENT,2292.55,2802.8,0.8179,3,3,910,648,0,0,0,0,0,0,0,0,0,0
TXN0000050,USR00003,DEV00636,IP00315,2025-01-13 06:15:00,PAYMENT,7996.08,3394.3,2.3557,4,0,4358,648,0,0,0,0,0,0,0,0,0,0
TXN0000051,USR00003,DEV02234,IP03551,2025-01-13 22:38:00,CASH_OUT,1464.27,2828.49,0.5177,5,0,3329,648,0,0,0,0,0,0,0,0,1,0
TXN0000052,USR00003,DEV00879,IP05103,2025-01-14 15:19:00,TRANSFER,10162.88,2736.17,3.7143,6,3,4131,457,5,0,0,0,0,0,0,1,0,1
TXN0000053,USR00003,DEV00369,IP05264,2025-01-14 18:36:00,PAYMENT,1201.97,3208.48,0.3746,7,5,2561,648,1,0,0,0,0,0,0,0,0,0
TXN0000054,USR00003,DEV00978,IP05581,2025-01-14 11:22:00,TRANSFER,1249.61,1923.62,0.6496,8,0,743,648,3,0,0,0,0,0,0,0,0,0
TXN0000055,USR00003,DEV02649,IP00270,2025-01-15 15:09:00,CASH_IN,1732.81,2635.89,0.6574,9,0,1630,648,0,0,0,0,0,0,0,0,0,0
TXN0000056,USR00003,DEV03803,IP01702,2025-01-16 11:42:00,PAYMENT,4809.4,2472.21,1.9454,10,2,2850,648,2,0,0,0,0,0,0,0,0,0
TXN0000057,USR00003,DEV03012,IP02431,2025-01-17 22:21:00,PAYMENT,7366.16,1920.1,3.8363,11,1,505,648,4,0,0,0,0,0,0,0,0,0
TXN0000058,USR00003,DEV02011,IP03642,2025-01-18 12:06:00,PAYMENT,1731.06,3868.21,0.4475,12,2,1452,648,3,0,0,0,0,0,0,0,0,0
TXN0000059,USR00003,DEV01063,IP00964,2025-01-19 09:08:00,PAYMENT,2825.12,2101.15,1.3446,13,0,299,648,0,0,0,0,0,0,0,0,0,0
TXN0000060,USR00003,DEV00809,IP00543,2025-01-19 16:04:00,TRANSFER,11218.06,3353.15,3.3455,14,5,3433,542,0,1,0,0,0,0,0,0,0,1
TXN0000061,USR00003,DEV01076,IP01836,2025-01-20 05:41:00,PAYMENT,1418.97,3069.21,0.4623,15,1,2655,648,0,0,0,0,0,0,0,1,1,0
TXN0000062,USR00003,DEV01842,IP01709,2025-01-21 02:01:00,CASH_IN,1388.26,3867.14,0.359,16,3,3572,648,1,0,0,0,0,0,0,1,0,0
TXN0000063,USR00003,DEV01205,IP02246,2025-01-22 23:05:00,TRANSFER,3681.17,2834.44,1.2987,17,3,2193,648,1,0,0,0,0,0,0,1,0,0
TXN0000064,USR00003,DEV00939,IP02892,2025-01-23 10:51:00,CASH_IN,1086.7,2626.28,0.4138,18,5,4171,648,0,0,0,0,0,0,0,0,1,0
TXN0000065,USR00003,DEV03134,IP02842,2025-01-23 10:42:00,TRANSFER,1240.36,1457.02,0.8513,19,2,1874,648,1,0,0,0,0,0,0,0,0,0
TXN0000066,USR00003,DEV02921,IP05505,2025-01-23 10:21:00,PAYMENT,1838.09,3398.43,0.5409,20,1,2895,648,0,0,0,0,0,0,0,0,0,0
TXN0000067,USR00003,DEV02318,IP00559,2025-01-24 18:13:00,PAYMENT,2428.82,3881.98,0.6257,20,0,3911,648,4,0,0,0,0,0,0,0,0,0
TXN0000068,USR00003,DEV03592,IP02662,2025-01-25 10:37:00,PAYMENT,2014.53,998.43,2.0177,20,2,2935,648,1,0,0,0,0,0,0,0,0,0
TXN0000069,USR00003,DEV02789,IP03497,2025-01-25 19:10:00,PAYMENT,3268.78,1910.02,1.7114,20,2,2533,648,1,0,0,0,0,0,0,0,0,0
TXN0000070,USR00003,DEV03309,IP00200,2025-01-27 10:41:00,CASH_OUT,54054.87,4652.76,11.6178,20,4,2513,591,3,0,0,0,0,1,0,0,0,1
TXN0000071,USR00003,DEV00659,IP03019,2025-01-27 15:44:00,TRANSFER,1559.52,3088.42,0.505,20,2,2006,648,0,1,0,0,0,0,0,0,0,0
TXN0000072,USR00003,DEV02760,IP03766,2025-01-29 10:59:00,CASH_IN,2298.9,4206.02,0.5466,20,3,3864,648,0,0,0,0,0,0,0,0,0,0
TXN0000073,USR00003,DEV03607,IP03256,2025-01-30 11:21:00,TRANSFER,2730.74,3010.15,0.9072,20,3,587,648,3,0,0,0,0,0,0,0,0,0
TXN0000074,USR00003,DEV01824,IP02447,2025-01-31 06:16:00,PAYMENT,1507.49,4149.71,0.3633,20,1,1735,648,2,0,0,0,0,0,0,0,0,0
TXN0000075,USR00003,DEV01908,IP05221,2025-01-31 11:05:00,PAYMENT,9802.88,1758.44,5.5748,20,3,2400,648,0,0,0,0,0,0,0,0,0,0
TXN0000076,USR00003,DEV03947,IP02004,2025-02-02 10:17:00,TRANSFER,2218.48,3987.92,0.5563,20,3,4060,648,1,0,0,0,0,0,0,0,0,0
TXN0000077,USR00003,DEV03294,IP01062,2025-02-03 07:33:00,CASH_OUT,1781.88,3492.74,0.5102,20,5,1607,648,1,0,0,0,0,0,0,0,0,0
TXN0000078,USR00004,DEV03856,IP01029,2025-01-04 11:09:00,CASH_IN,4635.17,3975.12,1.166,1,1,762,678,0,1,0,0,0,0,0,0,0,0
TXN0000079,USR00004,DEV00084,IP00991,2025-01-04 10:59:00,CASH_OUT,2719.97,2411.65,1.1278,2,2,412,678,3,0,0,0,0,0,0,0,0,0
TXN0000080,USR00004,DEV00196,IP02243,2025-01-05 13:32:00,PAYMENT,1899.22,2389.01,0.795,3,3,1045,678,3,0,0,0,0,0,0,0,0,0
TXN0000081,USR00004,DEV02614,IP04084,2025-01-05 05:21:00,PAYMENT,3952.25,8643.53,0.4572,4,4,976,678,0,0,0,0,0,0,0,1,0,0
TXN0000082,USR00004,DEV01297,IP05704,2025-01-06 07:41:00,PAYMENT,2461.07,3757.81,0.6549,5,4,4916,678,3,0,0,0,0,0,0,0,0,0
TXN0000083,USR00004,DEV01832,IP05961,2025-01-07 12:54:00,CASH_OUT,4360.72,2381.45,1.8311,6,2,2895,678,1,0,0,0,0,0,0,0,0,0
TXN0000084,USR00004,DEV00072,IP03160,2025-01-07 14:58:00,TRANSFER,1895.59,3571.16,0.5308,7,3,1266,678,0,0,0,0,0,0,0,0,0,0
TXN0000085,USR00004,DEV00079,IP03902,2025-01-07 08:31:00,TRANSFER,691.79,3536.7,0.1956,8,4,4468,678,0,0,0,0,0,0,0,0,0,0
TXN0000086,USR00004,DEV00514,IP04017,2025-01-08 17:13:00,TRANSFER,1982.71,7732.83,0.2564,9,2,1629,678,1,0,0,0,0,0,0,0,0,0
TXN0000087,USR00004,DEV03568,IP03758,2025-01-09 15:07:00,CASH_OUT,1707.48,1537.08,1.1109,10,1,3718,678,0,0,0,0,0,0,0,0,0,0
TXN0000088,USR00004,DEV01295,IP01212,2025-01-10 08:52:00,TRANSFER,4171.4,4961.64,0.8407,11,4,1618,678,3,0,0,0,1,0,0,0,0,0
TXN0000089,USR00004,DEV03816,IP03252,2025-01-10 13:44:00,TRANSFER,3301.88,6774.53,0.4874,12,0,2860,678,3,0,0,0,0,0,0,0,0,0
TXN0000090,USR00004,DEV02331,IP01675,2025-01-11 13:22:00,PAYMENT,3917.09,2312.99,1.6935,13,0,917,678,4,0,0,0,0,0,0,0,0,0
TXN0000091,USR00004,DEV03801,IP02488,2025-01-12 11:20:00,TRANSFER,3059.0,5473.31,0.5589,14,3,2020,678,0,0,1,0,0,0,0,0,0,0
TXN0000092,USR00004,DEV03083,IP03466,2025-01-12 12:06:00,PAYMENT,6187.86,8336.72,0.7422,15,2,3575,678,5,0,0,0,0,0,0,0,0,0
TXN0000093,USR00004,DEV00820,IP02664,2025-01-13 10:05:00,TRANSFER,1896.77,7152.2,0.2652,16,1,3052,678,4,0,0,0,1,0,0,0,0,0
TXN0000094,USR00004,DEV01127,IP03872,2025-01-14 20:22:00,PAYMENT,5680.0,4918.14,1.1549,17,2,2691,678,1,0,0,0,0,0,0,0,0,0
TXN0000095,USR00004,DEV00085,IP04018,2025-01-14 09:17:00,CASH_IN,5893.56,4713.38,1.2504,18,2,4604,678,0,0,0,0,0,0,0,0,0,0
TXN0000096,USR00004,DEV00856,IP05448,2025-01-14 15:37:00,TRANSFER,3507.61,3363.73,1.0428,19,0,68,678,5,0,0,0,0,0,0,0,0,0
TXN0000097,USR00004,DEV01348,IP02833,2025-01-16 05:07:00,CASH_OUT,13333.01,4279.98,3.1152,20,1,1864,304,5,1,0,0,1,0,0,1,0,1
TXN0000098,USR00004,DEV01840,IP03552,2025-01-16 13:31:00,TRANSFER,5882.1,3162.69,1.8598,20,3,2283,678,0,0,1,0,0,0,0,0,0,0
TXN0000099,USR00004,DEV03791,IP05511,2025-01-18 17:40:00,TRANSFER,2690.58,5317.23,0.506,20,5,1801,678,1,0,0,0,0,0,0,0,0,0
TXN0000100,USR00004,DEV02473,IP02415,2025-01-18 12:16:00,CASH_IN,4887.93,3262.74,1.4981,20,1,586,336,0,0,1,0,0,0,1,0,0,1
TXN0000101,USR00004,DEV01420,IP04304,2025-01-19 12:54:00,CASH_OUT,2764.17,4050.73,0.6824,20,4,3333,678,4,0,0,0,0,0,0,0,0,0
TXN0000102,USR00004,DEV03817,IP00068,2025-01-20 08:02:00,CASH_OUT,4492.5,4746.99,0.9464,20,4,446,678,1,0,0,0,0,0,0,0,0,0
TXN0000103,USR00004,DEV03234,IP00182,2025-01-20 18:17:00,TRANSFER,4400.59,3987.6,1.1036,20,2,3947,678,0,0,0,0,0,0,0,0,0,0
TXN0000104,USR00004,DEV01489,IP00944,2025-01-20 08:04:00,PAYMENT,4946.38,5579.31,0.8866,20,5,4031,678,0,0,0,0,0,0,0,0,0,0
TXN0000105,USR00004,DEV01161,IP02198,2025-01-21 13:36:00,TRANSFER,2422.98,3257.15,0.7439,20,3,1130,678,0,0,1,0,0,0,0,0,0,0
TXN0000106,USR00005,DEV02040,IP02217,2025-01-08 18:24:00,TRANSFER,5893.81,2615.89,2.2531,1,1,4366,276,3,0,0,0,0,0,0,0,0,0
TXN0000107,USR00005,DEV03605,IP02254,2025-01-10 09:42:00,PAYMENT,6641.79,2119.16,3.1342,2,0,3374,276,0,0,0,0,0,0,0,0,0,0
TXN0000108,USR00005,DEV01615,IP01544,2025-01-10 12:50:00,PAYMENT,1543.66,3294.7,0.4685,3,3,1831,276,1,0,1,0,0,0,1,0,0,0
TXN0000109,USR00005,DEV01843,IP01133,2025-01-11 11:49:00,CASH_OUT,2729.73,4423.23,0.6171,4,1,831,276,1,0,0,0,0,0,0,0,1,0
TXN0000110,USR00005,DEV01749,IP02087,2025-01-11 07:34:00,TRANSFER,8576.01,1926.95,4.4506,5,1,2057,314,4,0,0,0,0,0,0,1,0,1
TXN0000111,USR00005,DEV01244,IP04457,2025-01-11 08:41:00,CASH_IN,2569.09,2831.49,0.9073,6,1,4492,276,0,0,0,0,0,0,0,0,0,0
TXN0000112,USR00005,DEV02144,IP01338,2025-01-12 14:30:00,CASH_OUT,2768.8,1595.15,1.7358,7,3,2175,276,2,0,0,0,0,0,0,0,0,0
TXN0000113,USR00005,DEV00887,IP05094,2025-01-13 06:49:00,CASH_OUT,1625.47,2453.99,0.6624,8,2,3680,276,2,0,0,0,0,0,0,0,0,0
TXN0000114,USR00005,DEV03578,IP05682,2025-01-13 05:47:00,PAYMENT,3548.74,1020.24,3.4783,9,5,1190,276,3,0,0,0,0,0,0,1,0,0
TXN0000115,USR00005,DEV03566,IP04767,2025-01-14 12:50:00,TRANSFER,990.35,1627.97,0.6083,10,0,2486,276,0,0,0,0,0,0,0,0,0,0
TXN0000116,USR00005,DEV01682,IP02212,2025-01-14 19:55:00,TRANSFER,4797.34,3983.16,1.2044,11,4,2817,276,1,0,0,0,0,0,0,0,0,0
TXN0000117,USR00005,DEV02429,IP04601,2025-01-15 14:26:00,PAYMENT,3735.79,2549.7,1.4652,12,1,294,276,3,0,0,0,0,0,0,0,0,0
TXN0000118,USR00005,DEV01900,IP00515,2025-01-15 10:19:00,PAYMENT,2656.78,3705.35,0.717,13,3,376,276,0,0,0,0,0,0,0,0,0,0
TXN0000119,USR00005,DEV01928,IP02901,2025-01-15 13:44:00,CASH_IN,5909.25,1365.24,4.3284,14,5,3979,276,0,0,0,0,0,0,0,0,0,0
TXN0000120,USR00005,DEV02276,IP05948,2025-01-16 17:10:00,CASH_IN,5055.98,3529.89,1.4323,15,3,4842,276,0,0,0,0,0,0,0,0,0,0
TXN0000121,USR00005,DEV00530,IP03159,2025-01-16 08:53:00,CASH_OUT,5376.05,3565.41,1.5078,16,4,2880,276,0,0,0,0,0,0,0,0,0,0
TXN0000122,USR00005,DEV01322,IP04539,2025-01-17 17:14:00,PAYMENT,865.32,4490.93,0.1927,17,2,1021,276,0,0,0,0,0,0,0,0,0,0
TXN0000123,USR00005,DEV00398,IP00942,2025-01-18 04:11:00,CASH_IN,1953.85,3105.67,0.6291,18,0,264,276,1,0,0,0,0,0,0,1,0,0
TXN0000124,USR00005,DEV01858,IP03395,2025-01-19 21:08:00,PAYMENT,4104.11,6232.69,0.6585,19,4,723,276,0,0,0,1,0,0,0,0,0,0
TXN0000125,USR00005,DEV00630,IP02739,2025-01-20 10:04:00,PAYMENT,641.09,2172.9,0.295,20,2,4328,276,1,0,0,0,0,0,0,0,0,0
TXN0000126,USR00006,DEV01771,IP01234,2025-01-09 16:15:00,CASH_IN,5839.85,5843.04,0.9995,1,0,4131,393,0,0,0,0,0,0,0,0,0,0
TXN0000127,USR00006,DEV02828,IP05551,2025-01-09 13:18:00,PAYMENT,6521.32,2413.24,2.7023,2,2,601,393,1,0,0,0,0,0,0,0,0,0
TXN0000128,USR00006,DEV00646,IP05571,2025-01-10 11:29:00,PAYMENT,4202.66,7161.92,0.5868,3,1,198,393,0,0,0,0,0,0,0,0,0,0
TXN0000129,USR00006,DEV00044,IP02747,2025-01-10 07:30:00,TRANSFER,7939.3,7309.1,1.0862,4,1,1485,393,0,1,1,0,0,0,1,0,0,0
TXN0000130,USR00006,DEV03979,IP02495,2025-01-11 15:02:00,CASH_IN,14209.92,2812.09,5.0532,5,1,2450,393,2,0,0,0,0,0,0,0,0,0
TXN0000131,USR00006,DEV01070,IP03377,2025-01-12 02:08:00,CASH_OUT,642.75,3877.96,0.1657,6,5,3192,393,5,0,0,0,0,0,0,1,0,0
TXN0000132,USR00006,DEV03628,IP05257,2025-01-12 21:39:00,CASH_OUT,6489.41,6317.61,1.0272,7,2,3956,393,0,0,0,0,0,0,0,0,0,0
TXN0000133,USR00006,DEV00622,IP05183,2025-01-13 13:59:00,TRANSFER,2976.98,7029.58,0.4235,8,5,337,393,0,0,0,0,0,0,0,0,0,0
TXN0000134,USR00006,DEV01304,IP02697,2025-01-14 07:53:00,TRANSFER,5068.68,8411.87,0.6026,9,5,813,393,0,0,0,0,0,0,0,0,0,0
TXN0000135,USR00006,DEV03233,IP05172,2025-01-14 12:42:00,CASH_OUT,7069.94,3344.15,2.1141,10,4,4098,393,0,0,0,0,0,0,0,0,0,0
TXN0000136,USR00006,DEV03916,IP01446,2025-01-15 07:53:00,CASH_IN,2474.56,7448.34,0.3322,11,1,1967,393,0,0,0,0,0,0,0,0,0,0
TXN0000137,USR00006,DEV02660,IP03788,2025-01-15 12:10:00,TRANSFER,3881.11,3043.92,1.275,12,2,4605,393,0,0,0,0,0,0,0,0,0,0
TXN0000138,USR00006,DEV01004,IP04121,2025-01-16 12:38:00,TRANSFER,1596.11,2574.79,0.6199,13,5,1035,393,0,0,0,0,0,0,0,0,0,0
TXN0000139,USR00006,DEV02407,IP03060,2025-01-16 20:04:00,TRANSFER,2061.2,3438.51,0.5994,14,2,4665,393,0,0,0,0,0,0,0,0,0,0
TXN0000140,USR00006,DEV03979,IP04785,2025-01-17 10:27:00,PAYMENT,5736.73,2159.76,2.6562,15,3,2776,393,0,0,0,0,0,0,0,0,0,0
TXN0000141,USR00006,DEV01586,IP05045,2025-01-17 11:11:00,PAYMENT,12986.99,3829.84,3.391,16,3,3491,393,0,0,0,0,0,0,0,0,0,0
TXN0000142,USR00006,DEV03430,IP05535,2025-01-18 05:47:00,TRANSFER,7337.29,4490.82,1.6338,17,4,4739,393,2,0,0,0,0,0,0,1,0,0
TXN0000143,USR00006,DEV00031,IP02916,2025-01-19 10:55:00,PAYMENT,1379.92,6408.06,0.2153,18,1,4660,393,0,0,0,0,0,0,0,0,0,0
TXN0000144,USR00006,DEV01346,IP03149,2025-01-19 09:38:00,PAYMENT,8589.32,3648.25,2.3544,19,3,4673,393,0,0,0,0,0,0,0,0,0,0
TXN0000145,USR00006,DEV02168,IP02051,2025-01-20 07:57:00,PAYMENT,7262.69,6788.16,1.0699,20,3,4522,393,2,0,0,0,0,0,0,0,0,0
TXN0000146,USR00006,DEV01812,IP01715,2025-01-21 09:14:00,CASH_IN,6939.41,6366.78,1.0899,20,5,1377,393,0,0,0,0,0,0,0,0,0,0
TXN0000147,USR00006,DEV02213,IP03764,2025-01-22 10:33:00,CASH_OUT,2205.89,5421.47,0.4069,20,0,1315,393,3,0,0,0,0,0,0,0,0,0
TXN0000148,USR00006,DEV00706,IP01291,2025-01-23 04:01:00,PAYMENT,5509.09,4757.78,1.1579,20,2,2693,393,0,0,0,1,1,0,0,1,0,0
TXN0000149,USR00006,DEV03166,IP03963,2025-01-23 07:21:00,CASH_OUT,6833.75,6660.27,1.026,20,3,278,393,1,0,0,0,0,0,0,0,0,0
TXN0000150,USR00006,DEV00619,IP04544,2025-01-24 10:00:00,CASH_IN,5764.64,6561.98,0.8785,20,2,3185,393,4,0,0,0,0,0,0,0,0,0
TXN0000151,USR00007,DEV02156,IP02326,2025-01-05 11:20:00,TRANSFER,10845.11,7241.5,1.4976,1,1,1702,255,0,0,0,1,0,0,0,0,0,0
TXN0000152,USR00007,DEV02506,IP00540,2025-01-06 15:10:00,PAYMENT,4059.56,9055.51,0.4483,2,2,3727,255,2,0,0,0,0,0,0,0,0,0
TXN0000153,USR00007,DEV03693,IP03741,2025-01-06 17:12:00,TRANSFER,9910.26,6833.11,1.4503,3,3,2653,255,1,0,0,0,0,0,0,0,0,0
TXN0000154,USR00007,DEV02116,IP02016,2025-01-07 12:10:00,CASH_IN,7376.35,10874.61,0.6783,4,4,1049,255,2,0,0,0,0,0,0,0,0,0
TXN0000155,USR00007,DEV02575,IP05198,2025-01-08 13:01:00,PAYMENT,8087.18,14713.22,0.5497,5,2,4735,255,0,0,0,0,0,0,0,0,0,0
TXN0000156,USR00007,DEV00970,IP02431,2025-01-09 11:28:00,PAYMENT,2187.86,4913.32,0.4453,6,2,1806,255,0,0,0,0,0,0,0,0,0,0
TXN0000157,USR00007,DEV01055,IP02590,2025-01-10 23:47:00,TRANSFER,14372.62,5887.45,2.4412,7,4,1367,255,1,0,0,0,0,0,0,1,0,0
